| PID   | Parent | Name                                 | State      | Memory     | # Threads | Open Files |
| 193   | 2      | ata_sff                              | I          | 0.0      M | 1         | 0          |
| 195   | 2      | scsi_eh_0                            | S          | 0.0      M | 1         | 0          |
| 196   | 2      | scsi_tmf_0                           | I          | 0.0      M | 1         | 0          |
| 197   | 2      | scsi_eh_1                            | S          | 0.0      M | 1         | 0          |
| 198   | 2      | scsi_tmf_1                           | I          | 0.0      M | 1         | 0          |
| 201   | 2      | kworker/3:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 208   | 2      | kworker/5:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 215   | 2      | kworker/0:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 216   | 2      | jbd2/sda7-8                          | S          | 0.0      M | 1         | 0          |
| 217   | 2      | ext4-rsv-conver                      | I          | 0.0      M | 1         | 0          |
| 222   | 2      | kworker/7:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 223   | 2      | kworker/6:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 224   | 2      | kworker/2:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 242   | 2      | kworker/4:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 248   | 1      | systemd-journal                      | S          | 5.6      M | 1         | 56         |
| 251   | 2      | kworker/1:1H-kblockd                 | I          | 0.0      M | 1         | 0          |
| 258   | 1      | lvmetad                              | S          | 0.3      M | 1         | 5          |
| 266   | 1      | systemd-udevd                        | S          | 1.4      M | 1         | 14         |
| 382   | 2      | cfg80211                             | I          | 0.0      M | 1         | 0          |
| 389   | 2      | irq/51-DELL0810                      | S          | 0.0      M | 1         | 0          |
| 394   | 2      | ath10k_wq                            | I          | 0.0      M | 1         | 0          |
| 395   | 2      | ath10k_aux_wq                        | I          | 0.0      M | 1         | 0          |
| 399   | 2      | i915/signal:0                        | S          | 0.0      M | 1         | 0          |
| 400   | 2      | i915/signal:1                        | S          | 0.0      M | 1         | 0          |
